Multiplier,SSIM,Cost function
mul9344,0.9733899649499936,2746.5897323232007
mul4344,0.970203128466882,2690.956150664401
mul4444,0.961427657702113,2679.016233600001
mul3433,0.95561717738077,2714.9046553836006
mul4144,0.9392223447990036,2747.032324920001
mul9999,0.9969065396239212,2904.453409176001
mul9994,0.9956203246064436,2847.2504955030013
mul9944,0.9942858923593164,2790.609995016001
mul9934,0.9934674907037488,2802.785727168001
mul4944,0.9917647591242488,2734.531907715001
mul4943,0.9910893529250976,2746.5897323232007
mul4934,0.9889391559407056,2746.5897323232007
mul9344,0.976890468943083,2746.5897323232007
mul4344,0.9739917558708074,2690.956150664401
mul4444,0.9723546069853094,2679.016233600001
mul2444,0.964249810823796,2737.013906880001
mul4144,0.9552323241886028,2747.032324920001
mul4244,0.9005391476796382,2737.013906880001
mul2244,0.8791848967839145,2795.5804766400006
mul9993,0.9964405832061412,2859.544135198801
mul9994,0.9938869103762776,2847.2504955030013
mul3943,0.9878582254296212,2758.6704471282005
mul3934,0.9810128383459628,2758.6704471282005
mul3944,0.9764586348766574,2746.5897323232007
mul3244,0.9734960784228864,2749.0962159864007
mul3344,0.9686554196156706,2702.918957925601
mul3343,0.9641243056887912,2714.9046553836006
mul3443,0.9568043194568496,2702.918957925601
mul4344,0.9484785191703824,2690.956150664401
mul4444,0.9199915724341936,2679.016233600001
mul1443,0.8882367494147045,2759.1244938180007
mul1444,0.8744062313101574,2747.032324920001
mul4141,0.8250706985887515,2815.9001877600003
mul9999,0.9976494686617904,2904.453409176001
mul2934,0.9881066295203824,2805.343941067201
mul2844,0.986387374621635,2810.2559893920006
mul2944,0.9831544862063388,2793.143724417001
mul4948,0.9770395704645634,2807.768774932201
mul4949,0.9745031173076976,2790.609995016001
mul9944,0.9689869262381668,2790.609995016001
mul9344,0.9678297625458128,2746.5897323232007
mul4344,0.9632923772575546,2690.956150664401
mul3344,0.9539616110850936,2702.918957925601
mul4334,0.9524230988939064,2702.918957925601
mul4444,0.9111209172049014,2679.016233600001
mul3434,0.8896638841121431,2702.918957925601
mul4144,0.8423941628939025,2747.032324920001
mul9993,0.9990547899781462,2859.544135198801
mul9994,0.9983904729431226,2847.2504955030013
mul9943,0.9972733226979326,2802.785727168001
mul9944,0.9961341413030844,2790.609995016001
mul4943,0.9932783080265228,2746.5897323232007
mul4834,0.9912650562077344,2763.6089585580003
mul4944,0.989477840879765,2734.531907715001
mul4433,0.9880810267830628,2702.918957925601
mul4443,0.9865015293740762,2690.956150664401
mul4444,0.9817809917734422,2679.016233600001
mul3443,0.98034757634455,2702.918957925601
mul3433,0.978445941696362,2714.9046553836006
mul3333,0.974395334679921,2726.9132430384
mul2144,0.96429214148214,2805.7512939840008
mul9993,0.9985440674917544,2859.544135198801
mul9943,0.9973598156251672,2802.785727168001
mul4993,0.9965802993267292,2802.785727168001
mul3943,0.9955316348159924,2758.6704471282005
mul4943,0.9950544214684156,2746.5897323232007
mul4833,0.9931800195346838,2775.7375047648
mul4944,0.991811254717764,2734.531907715001
mul3244,0.990181842629907,2749.0962159864007
mul4344,0.9808571288681396,2690.956150664401
mul3344,0.978208978309448,2702.918957925601
mul4443,0.9534593169547796,2690.956150664401
mul3444,0.9435513209208,2690.956150664401
mul4444,0.9350244403253928,2679.016233600001
mul4411,0.9171467685774796,2815.9001877600003
mul3943,0.9964900642006228,2758.6704471282005
mul3833,0.995372240661834,2787.8889411684
mul4314,0.9926996004790348,2759.1244938180007
mul4943,0.991974466751814,2746.5897323232007
mul3944,0.9915552270693716,2746.5897323232007
mul4324,0.98924122286521,2749.0962159864007
mul3444,0.9853893384108354,2690.956150664401
mul4442,0.9830539298220708,2737.013906880001
mul4344,0.9818754288354168,2690.956150664401
mul2444,0.9795113817460396,2737.013906880001
mul9344,0.9768182703820478,2746.5897323232007
mul4444,0.9756259580930956,2679.016233600001
mul3344,0.9702631614435956,2702.918957925601
mul3334,0.9354879019638064,2714.9046553836006
mul9999,0.9975383080543688,2904.453409176001
mul9994,0.994726274741884,2847.2504955030013
mul4999,0.9939601657587602,2847.2504955030013
mul4948,0.9913189216846712,2807.768774932201
mul4949,0.991171451265063,2790.609995016001
mul4944,0.9851692557849264,2734.531907715001
mul3944,0.9827630293974804,2746.5897323232007
mul2442,0.9551673921956472,2795.5804766400006
mul4499,0.9502947001310156,2790.609995016001
mul4449,0.9467810470877676,2734.531907715001
mul4494,0.944732311177297,2734.531907715001
mul4444,0.9397962816993928,2679.016233600001
mul3344,0.9338241112787776,2702.918957925601
mul1144,0.9118188613548492,2815.9001877600003
mul9999,0.9974184651951978,2904.453409176001
mul9994,0.9945183137796212,2847.2504955030013
mul3994,0.9924290684608602,2802.785727168001
mul3943,0.9908576620015208,2758.6704471282005
mul3944,0.9877576271850912,2746.5897323232007
mul4943,0.9834911633755548,2746.5897323232007
mul4944,0.9779816438303164,2734.531907715001
mul3344,0.9705929601325696,2702.918957925601
mul4344,0.9654397377324844,2690.956150664401
